Epoch,Train Loss,Val Dice,Best Dice
1,1.209469325012631,0.080968544,0.080968544
2,0.58960456583235,0.08547405,0.08547405
3,0.5417062732908461,0.14606124,0.14606124
4,0.5034441080358293,0.1941631,0.1941631
5,0.475333038965861,0.21703376,0.21703376
6,0.45903630918926663,0.19449031,0.21703376
7,0.4501942276954651,0.21281414,0.21703376
8,0.43988033798005843,0.22037755,0.22037755
9,0.42382780512173973,0.22958441,0.22958441
10,0.4100914425320096,0.34769008,0.34769008
11,0.3978845563199785,0.35422885,0.35422885
12,0.3853375580575731,0.3650601,0.3650601
13,0.37769067154990305,0.35717964,0.3650601
14,0.3734071479903327,0.3666815,0.3666815
15,0.3685114244620005,0.36702394,0.36702394
16,0.3643407205740611,0.37128225,0.37128225
17,0.3607818775706821,0.36879146,0.37128225
18,0.35702782736884225,0.37026682,0.37128225
19,0.35271279215812684,0.37331295,0.37331295
20,0.3488597916232215,0.385474,0.385474
21,0.3447612033949958,0.41046003,0.41046003
22,0.34204604493247137,0.42613742,0.42613742
23,0.3384713802072737,0.41635796,0.42613742
24,0.3340172270933787,0.42974296,0.42974296
25,0.32996594508488974,0.43516767,0.43516767
26,0.3276872853438059,0.43024072,0.43516767
27,0.32587589422861735,0.42767164,0.43516767
28,0.32242309980922274,0.43659553,0.43659553
29,0.3200753582848443,0.4316732,0.43659553
30,0.3182711124420166,0.4374036,0.4374036
31,0.31624225378036497,0.43459094,0.4374036
32,0.3134602480464511,0.43745634,0.43745634
33,0.3107151329517365,0.4351978,0.43745634
34,0.30826067725817363,0.4350368,0.43745634
35,0.3064347326755524,0.43622342,0.43745634
36,0.302952985631095,0.44006,0.44006
37,0.3009446879227956,0.45418158,0.45418158
38,0.2954709841145409,0.47238708,0.47238708
39,0.2893064611487918,0.5197072,0.5197072
40,0.28194128076235453,0.5544522,0.5544522
41,0.27626149190796745,0.5503553,0.5544522
42,0.27053974337048003,0.56508577,0.56508577
43,0.2650076369444529,0.5627803,0.56508577
44,0.26390799813800386,0.56163484,0.56508577
45,0.25949041512277393,0.5730873,0.5730873
46,0.2572419060601128,0.5764515,0.5764515
47,0.2547711004813512,0.5791206,0.5791206
48,0.25348199639055463,0.5913848,0.5913848
49,0.24977746572759416,0.5886528,0.5913848
50,0.2479156090153588,0.604518,0.604518
51,0.2458243641588423,0.5959594,0.604518
52,0.24309101700782776,0.588296,0.604518
53,0.24239054785834419,0.60568553,0.60568553
54,0.24006136920717028,0.60435295,0.60568553
55,0.23846256534258525,0.61149764,0.61149764
56,0.23691169553332858,0.61141163,0.61149764
57,0.23469999697473315,0.6001102,0.61149764
58,0.2330247673723433,0.60007274,0.61149764
59,0.2305900086959203,0.6155891,0.6155891
60,0.22879425552156235,0.6107208,0.6155891
61,0.22885361611843108,0.6193698,0.6193698
62,0.22653773758146498,0.6223909,0.6223909
63,0.22713667551676434,0.6236215,0.6236215
64,0.22315331432554458,0.61759335,0.6236215
65,0.2224314060476091,0.6196864,0.6236215
66,0.22153408858511184,0.61159545,0.6236215
67,0.22009029553996193,0.62241775,0.6236215
68,0.21882367564572228,0.6206215,0.6236215
69,0.21805383099450004,0.621504,0.6236215
70,0.21670703689257304,0.6198848,0.6236215
71,0.2146548479795456,0.62704724,0.62704724
72,0.21268303791681925,0.6380673,0.6380673
73,0.21108053856425815,0.64600956,0.64600956
74,0.2098926133579678,0.66210824,0.66210824
75,0.20753302772839863,0.66071457,0.66210824
76,0.20624466141064962,0.6681004,0.6681004
77,0.2035897433757782,0.6678888,0.6681004
78,0.20326411558522117,0.67776936,0.67776936
79,0.20079556968477036,0.6771097,0.67776936
80,0.1989287770456738,0.6703837,0.67776936
81,0.1977894064452913,0.6779785,0.6779785
82,0.19534946415159438,0.6816766,0.6816766
83,0.19521561397446527,0.68506676,0.68506676
84,0.19376525183518728,0.68359894,0.68506676
85,0.19174328876866234,0.6785198,0.68506676
86,0.18891469173961215,0.6898125,0.6898125
87,0.18962315221627554,0.68631464,0.6898125
88,0.18871581322617,0.6775821,0.6898125
89,0.18732895519998338,0.6882162,0.6898125
90,0.1861683189868927,0.688301,0.6898125
91,0.1849381705125173,0.6844154,0.6898125
92,0.1836460100279914,0.6867086,0.6898125
93,0.1828608595662647,0.6857007,0.6898125
94,0.18135604626602597,0.68921214,0.6898125
95,0.1807186481025484,0.68816227,0.6898125
96,0.17842356264591216,0.6895535,0.6898125
97,0.17926414906978608,0.69414634,0.69414634
98,0.17875817981031206,0.69401675,0.69414634
99,0.17671958439879948,0.7003723,0.7003723
100,0.17579753895600636,0.698474,0.7003723
101,0.17438995010322994,0.69914937,0.7003723
102,0.17367322146892547,0.71331567,0.71331567
103,0.1734950406683816,0.7028617,0.71331567
104,0.17322022020816802,0.724081,0.724081
105,0.17089520560370552,0.7250697,0.7250697
106,0.17085598740312788,0.7195706,0.7250697
107,0.16889009806844923,0.725573,0.725573
108,0.16801170971658494,0.7102694,0.725573
109,0.1675903257396486,0.7171288,0.725573
